censo,iso_3166-2_AR,provincia,sexo,rango_etario,nativo_extranjero,poblacion,
1991,AR,ARGENTINA,M,85+,N,92112,
1991,AR,ARGENTINA,V,05-09,N,1642400,
1991,AR,ARGENTINA,V,10-14,N,1668534,
1991,AR,ARGENTINA,V,00-04,N,1690992,
1991,AR,ARGENTINA,V,15-19,N,1393629,
1991,AR,ARGENTINA,V,20-24,N,1179374,
1991,AR,ARGENTINA,V,25-29,N,1096195,
1991,AR,ARGENTINA,V,30-34,N,1049533,
1991,AR,ARGENTINA,V,35-39,N,990487,
1991,AR,ARGENTINA,V,40-44,N,895080,
1991,AR,ARGENTINA,V,45-49,N,762410,
1991,AR,ARGENTINA,V,50-54,N,659335,
1991,AR,ARGENTINA,V,55-59,N,592331,
1991,AR,ARGENTINA,V,60-64,N,536655,
1991,AR,ARGENTINA,V,65-69,N,410065,
1991,AR,ARGENTINA,V,70-74,N,278706,
1991,AR,ARGENTINA,V,75-79,N,186876,
1991,AR,ARGENTINA,V,80-84,N,88499,
1991,AR,ARGENTINA,V,85+,N,41481,
2001,AR,ARGENTINA,M,05-09,N,1697399,
2001,AR,ARGENTINA,M,10-14,N,1669997,
2001,AR,ARGENTINA,M,00-04,N,1640753,
2001,AR,ARGENTINA,M,15-19,N,1548193,
2001,AR,ARGENTINA,M,20-24,N,1553565,
2001,AR,ARGENTINA,M,25-29,N,1305777,
2001,AR,ARGENTINA,M,30-34,N,1139693,
2001,AR,ARGENTINA,M,35-39,N,1078945,
2001,AR,ARGENTINA,M,40-44,N,1034644,
2001,AR,ARGENTINA,M,45-49,N,954447,
2001,AR,ARGENTINA,M,50-54,N,883717,
2001,AR,ARGENTINA,M,55-59,N,723676,
2001,AR,ARGENTINA,M,60-64,N,633251,
2001,AR,ARGENTINA,M,65-69,N,561028,
2001,AR,ARGENTINA,M,70-74,N,520274,
2001,AR,ARGENTINA,M,75-79,N,384442,
2001,AR,ARGENTINA,M,80-84,N,246416,
2001,AR,ARGENTINA,M,85+,N,192456,
2001,AR,ARGENTINA,V,05-09,N,1747363,
2001,AR,ARGENTINA,V,10-14,N,1719897,
2001,AR,ARGENTINA,V,00-04,N,1697868,
2001,AR,ARGENTINA,V,15-19,N,1588609,
2001,AR,ARGENTINA,V,20-24,N,1560496,
2001,AR,ARGENTINA,V,25-29,N,1282188,
2001,AR,ARGENTINA,V,30-34,N,1104731,
2001,AR,ARGENTINA,V,35-39,N,1033945,
2001,AR,ARGENTINA,V,40-44,N,994669,
2001,AR,ARGENTINA,V,45-49,N,909956,
2001,AR,ARGENTINA,V,50-54,N,829334,
2001,AR,ARGENTINA,V,55-59,N,659062,
2001,AR,ARGENTINA,V,60-64,N,546164,
2001,AR,ARGENTINA,V,65-69,N,454024,
2001,AR,ARGENTINA,V,70-74,N,377505,
2001,AR,ARGENTINA,V,75-79,N,247075,
2001,AR,ARGENTINA,V,80-84,N,129618,
2001,AR,ARGENTINA,V,85+,N,77013,
2010,AR,ARGENTINA,M,05-09,N,1636757,
2010,AR,ARGENTINA,M,10-14,N,1695974,
2010,AR,ARGENTINA,M,00-04,N,1624492,
2010,AR,ARGENTINA,M,15-19,N,1713120,
2010,AR,ARGENTINA,M,20-24,N,1576306,
2010,AR,ARGENTINA,M,25-29,N,1492744,
2010,AR,ARGENTINA,M,30-34,N,1497202,
2010,AR,ARGENTINA,M,35-39,N,1289953,
2010,AR,ARGENTINA,M,40-44,N,1111254,
2010,AR,ARGENTINA,M,45-49,N,1061663,
2010,AR,ARGENTINA,M,50-54,N,995500,
2010,AR,ARGENTINA,M,55-59,N,916654,
2010,AR,ARGENTINA,M,60-64,N,791204,
2010,AR,ARGENTINA,M,65-69,N,649448,
2010,AR,ARGENTINA,M,70-74,N,531676,
2010,AR,ARGENTINA,M,75-79,N,440985,
2010,AR,ARGENTINA,M,80-84,N,328703,
2010,AR,ARGENTINA,M,85+,N,265434,
2010,AR,ARGENTINA,V,05-09,N,1690760,
2010,AR,ARGENTINA,V,10-14,N,1751561,
2010,AR,ARGENTINA,V,00-04,N,1682461,
2010,AR,ARGENTINA,V,15-19,N,1743408,
2010,AR,ARGENTINA,V,20-24,N,1578308,
2010,AR,ARGENTINA,V,25-29,N,1472305,
2010,AR,ARGENTINA,V,30-34,N,1455642,
2010,AR,ARGENTINA,V,35-39,N,1246295,
2010,AR,ARGENTINA,V,40-44,N,1064776,
2010,AR,ARGENTINA,V,45-49,N,1012449,
2010,AR,ARGENTINA,V,50-54,N,937194,
2010,AR,ARGENTINA,V,55-59,N,844548,
2010,AR,ARGENTINA,V,60-64,N,700067,
2010,AR,ARGENTINA,V,65-69,N,539510,
2010,AR,ARGENTINA,V,70-74,N,399369,
2010,AR,ARGENTINA,V,75-79,N,290413,
2010,AR,ARGENTINA,V,80-84,N,177220,
2010,AR,ARGENTINA,V,85+,N,105784,
2022,AR,ARGENTINA,M,00-04,N,1392682,
2022,AR,ARGENTINA,M,05-09,N,1752421,
2022,AR,ARGENTINA,M,10-14,N,1758848,
2022,AR,ARGENTINA,M,15-19,N,1720863,
2022,AR,ARGENTINA,M,20-24,N,1716104,
2022,AR,ARGENTINA,M,25-29,N,1738188,
2022,AR,ARGENTINA,M,30-34,N,1682372,
2022,AR,ARGENTINA,M,35-39,N,1588714,
2022,AR,ARGENTINA,M,40-44,N,1621611,
2022,AR,ARGENTINA,M,45-49,N,1404622,
2022,AR,ARGENTINA,M,50-54,N,1200241,
2022,AR,ARGENTINA,M,55-59,N,1083341,
2022,AR,ARGENTINA,M,60-64,N,993137,
2022,AR,ARGENTINA,M,65-69,N,884653,
2022,AR,ARGENTINA,M,70-74,N,735615,
2022,AR,ARGENTINA,M,75-79,N,552705,
2022,AR,ARGENTINA,M,80-84,N,371533,
2022,AR,ARGENTINA,M,85+,N,348835,
2022,AR,ARGENTINA,V,00-04,N,1430489,
2022,AR,ARGENTINA,V,05-09,N,1803866,
2022,AR,ARGENTINA,V,10-14,N,1814533,
2022,AR,ARGENTINA,V,15-19,N,1752313,
2022,AR,ARGENTINA,V,20-24,N,1683138,
2022,AR,ARGENTINA,V,25-29,N,1656458,
2022,AR,ARGENTINA,V,30-34,N,1592232,
2022,AR,ARGENTINA,V,35-39,N,1506370,
2022,AR,ARGENTINA,V,40-44,N,1528040,
2022,AR,ARGENTINA,V,45-49,N,1313283,
2022,AR,ARGENTINA,V,50-54,N,1109227,
2022,AR,ARGENTINA,V,55-59,N,984790,
2022,AR,ARGENTINA,V,60-64,N,878718,
2022,AR,ARGENTINA,V,65-69,N,749109,
2022,AR,ARGENTINA,V,70-74,N,578427,
2022,AR,ARGENTINA,V,75-79,N,382745,
2022,AR,ARGENTINA,V,80-84,N,219349,
2022,AR,ARGENTINA,V,85+,N,155752,
1869,AR,ARGENTINA,M,05-09,E,2662,
1869,AR,ARGENTINA,M,10-14,E,4097,
1869,AR,ARGENTINA,M,00-04,E,1637,
1869,AR,ARGENTINA,M,15-19,E,5704,
1869,AR,ARGENTINA,M,20-24,E,7791,
1869,AR,ARGENTINA,M,25-29,E,8440,
1869,AR,ARGENTINA,M,30-34,E,8397,
1869,AR,ARGENTINA,M,35-39,E,5546,
1869,AR,ARGENTINA,M,40-44,E,4874,
1869,AR,ARGENTINA,M,45-49,E,3178,
1869,AR,ARGENTINA,M,50-54,E,2768,
1869,AR,ARGENTINA,M,55-59,E,1314,
1869,AR,ARGENTINA,M,60-64,E,1420,
1869,AR,ARGENTINA,M,65-69,E,774,
1869,AR,ARGENTINA,M,70-74,E,604,
1869,AR,ARGENTINA,M,75-79,E,96,
1869,AR,ARGENTINA,M,80-84,E,288,
1869,AR,ARGENTINA,M,85+,E,360,
1869,AR,ARGENTINA,V,05-09,E,4374,
1869,AR,ARGENTINA,V,10-14,E,6981,
1869,AR,ARGENTINA,V,00-04,E,2112,
1869,AR,ARGENTINA,V,15-19,E,13359,
1869,AR,ARGENTINA,V,20-24,E,20900,
1869,AR,ARGENTINA,V,25-29,E,24593,
1869,AR,ARGENTINA,V,30-34,E,21857,
1869,AR,ARGENTINA,V,35-39,E,16209,
1869,AR,ARGENTINA,V,40-44,E,13643,
1869,AR,ARGENTINA,V,45-49,E,9128,
1869,AR,ARGENTINA,V,50-54,E,6340,
1869,AR,ARGENTINA,V,55-59,E,2963,
1869,AR,ARGENTINA,V,60-64,E,3344,
1869,AR,ARGENTINA,V,65-69,E,1497,
1869,AR,ARGENTINA,V,70-74,E,1257,
1869,AR,ARGENTINA,V,75-79,E,462,
1869,AR,ARGENTINA,V,80-84,E,683,
